カナダのボンバルディアと並ぶ、小型航空機メーカー「エンブラエル」はどこの国の企業でしょう？,ブラジル,アルゼンチン,メキシコ,ベネズエラ,社会科学
先進国首脳会議がG8である時代は参加し、G7である時代は不参加である国はどこでしょう？,ロシア,カナダ,イタリア,ドイツ,社会科学
次の世界的企業のうち、スウェーデン発祥の企業ではない企業はどれでしょう？,ノキア(通信),H&M(ファッション),ボルボ(自動車),IKEA(家具),社会科学
次の景気循環のうち、変動周期が約40カ月(短期波動)であり、要因が企業の在庫変動であるものを何というでしょう？,キチンの波,コンドラチェフの波,クズネッツの波,ジュグラーの波,社会科学
次の景気循環のうち、変動周期が約10年(中期波動)であり、要因が企業の設備投資であるものを何というでしょう？,ジュグラーの波,コンドラチェフの波,クズネッツの波,キチンの波,社会科学
次の景気循環のうち、変動周期が約20年であり、要因が建設需要であるものを何というでしょう？,クズネッツの波,コンドラチェフの波,ジュグラーの波,キチンの波,社会科学
次の景気循環のうち、変動周期が約50年(長期波動)であり、要因が技術革新であるものを何というでしょう？,コンドラチェフの波,クズネッツの波,ジュグラーの波,キチンの波,社会科学
所得の増大に比例して、住居費の支出も増えるが、家計支出全体に占める割合は低下するという法則は何というでしょう？,シュワーベの法則,パレートの法則,オークンの法則,セイの法則,社会科学
非貨幣市場の総供給と総需要が常に一致するというのは何の法則でしょう？,セイの法則,シュワーベの法則,パレートの法則,オークンの法則,社会科学
約2割の高額所得者が所得総額の8割を占めているという所得分布の経験則を何の法則というでしょう？,パレートの法則,シュワーベの法則,エンゲルの法則,セイの法則,社会科学
失業率が0.55％増加すれば、潜在的生産量に対して国内総生産量は約1％下回ることを何の法則というでしょう？,オークンの法則,シュワーベの法則,エンゲルの法則,セイの法則,社会科学
国際連合の主要機関のうち、現在任務が終了しているのはどれでしょう？,信託統治理事会,経済社会理事会,国際司法裁判所,事務局,社会科学
国連安全保障理事会の決議は、常任理事国が全て賛成かつ、何か国以上の賛成が必要でしょう？,9,10,8,11,社会科学
為替相場の安定と貿易拡大を推進し、赤字国に一時的融資を行う「国際通貨基金」の略称は次のうちどれでしょう？,IMF,IBRD,FAO,UPU,社会科学
第二次世界大戦後の各国の経済面での復興を援助するために設立され、1947年からは国連の専門機関になった「国際復興開発銀行」の略称は次のうちどれでしょう？,IBRD,IMF,FAO,UPU,社会科学
世界の貧困と飢餓の消滅を目的とし、食料の生産と分配の改善を図っている「国際食糧農業機関」の略称は何でしょう？,FAO,IFAD,ITU,UPU,社会科学
戦争などで母国にいられなくなった難民の保護、救済活動を行っている「国連難民高等弁務官事務所」の略称は何でしょう？,UNHCR,UNCTAD,UNIDO,UPU,社会科学
世界の電信・電話・無線通信サービスの使用を調整し、規格に関する協定をつくる「国際電気通信連合」の略称は何でしょう？,ITU,FAO,WIPO,ICAO,社会科学
2001年に中国、ロシア、カザフスタン、キルギス、タジキスタン、ウズベキスタン6か国で組織された軍事や経済居力を目的とした機構「上海協力機構」の略称は何でしょう？,SCO,CIS,WIPO,ICAO,社会科学
気象事情の国際的な標準化と改善及び調整を行い、気商標法の伝達活動を統合する「世界気象機関」の略称は何でしょう？,WMO,ITU,WIPO,IMO,社会科学
1874年の国際郵便条約によって設立した加盟国間の郵便事業の協力、調整を促進する「万国郵便連合」の略称は何でしょう？,UPU,ITU,WIPO,IMO,社会科学
世界で知的財産の保護を促進することを目的とし、条約の作成や国際登録業務を行っている「世界知的所有権機関」の略称は何でしょう？,WIPO,ITU,ICAO,IMO,社会科学
発展途上国の食糧増産と農業開発を支援している「国際農業開発基金」の略称は何でしょう？,IFAD,FAO,WIPO,IMO,社会科学
開発途上国の経済発展のために工業化を技術面から支援している「国連工業開発機関」の略称は何でしょう？,UNIDO,UNHCR,UNCTAD,WIPO,社会科学
国際民間航空の安全と発展を目的とし、運航の減速や航空技術を開発・制定している「国際民間航空機関」の略称は何でしょう？,ICAO,IAEA,IMO,FAO,社会科学
発展途上国の経済開発促進と南北問題の経済格差是正のために国際連合が設けた会議で、国際連合の補助機関である「国際連合貿易開発会議」の略称は何でしょう？,UNCTAD,UNHCR,UNIDO,FAO,社会科学
海城航行の安全性や開運技術の向上や海上汚染の防止を目指す「国際海事機関」の略称は何でしょう？,IMO,ILO,IAEA,FAO,社会科学
世界の労働者の労働条件の改善や生活水準の向上を目的とする「国際労働機関」の略称は何でしょう？,ILO,IMO,IAEA,FAO,社会科学
原子力の平和的利用の促進及び軍事転用の防止を目的とする「国際原子力機関」の略称は何でしょう？,IAEA,IMO,ILO,FAO,社会科学
一定の廃棄物の国境を越える移動等の規制について国際的な枠組みおよび手続等を規定した条約を採択された都市から何条約というでしょう？,バーゼル条約,オタワ条約,オスロ条約,ロッテルダム条約,社会科学
有害な化学物質の国際貿易によって人や環境に悪影響が生じることを防ぐために締結された多国間条約を採択された都市から何条約というでしょう？,ロッテルダム条約,バーゼル条約,オタワ条約,オスロ条約,社会科学
対人地雷の使用、貯蔵、生産及び移譲の禁止並びに廃棄に関する条約を採択された都市から何条約というでしょう？,オタワ条約,バーゼル条約,オスロ条約,ロッテルダム条約,社会科学
クラスター弾の使用や保有、製造を全面的に禁止する条約を採択された都市から何条約というでしょう？,オスロ条約,バーゼル条約,オタワ条約,ハーグ条約,社会科学
国際的な子の奪取の民事面に関する条約を採択された都市から何条約というでしょう？,ハーグ条約,オスロ条約,バーゼル条約,オタワ条約,社会科学
アフリカの開発支援のために、日本が主導し国連や世界銀行等と共同で開催している「アフリカ開発会議」の略称は何でしょう？,TICAD,IMO,ILO,FAO,社会科学
福島第一原発の事故処理でも使われた、汚染水から多種類の放射線物質を除去する装置、「多核性除去設備」の略称は何でしょう？,ALPS,GMP,ISO,CUI,社会科学
原材料入荷から食品出荷までにいたる、食品の全製造工程における品質管理システムは何でしょう？,HACCP,JIS,FDA,GMP,社会科学
次の企業のうち、世界初のスマートフォンといわれる「Simon」を1994年に発売したのはどこでしょう？,IBM,MicroSoft,Apple,モトローラ,社会科学
次のうち、世界初のウェブブラウザはどれでしょう？,WorldWideWeb,NCSA Mosaic,Netscape Navigator,Internet Explorer,社会科学
